Competition Title,Competition Date,Category,Rank,FIRST,LAST,Nation,Qualification lead,Qualification speed,Qualification boulder,Points,Final Points,Final lead,Final boulder,Final speed
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,HIRANO,Natsumi,JPN,1.,14.,1.,14.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,LOTZ,Julia,AUT,7.,1.,5.,35.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,PHILLIPS,Emily,GBR,2.,5.,4.,40.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,RAUTH,Jana,AUT,4.,4.,3.,48.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,MICHALKOVA,Vanda,SVK,3.,15.,6.,270.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,KUDO,Hana,JPN,12.,12.,2.,288.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,WATILLON,Lucie,BEL,9.,6.,13.,702.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,EGLI,Zoé,SUI,5.,18.,8.,765.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,VELEV,Erica,BUL,24.,2.,17.,840.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,DEBEVEC,Betka,SLO,8.,11.,10.,880.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,TARKUS,Lucija,SLO,11.,10.,8.,935.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,PARK,Seoyeon,KOR,17.,3.,19.,1023.75,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,13,BENACH ZUBERO,Maria,ESP,6.,13.,14.,1131.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,14,PICCINI,Vana,CRO,14.,8.,11.,1320.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,15,KLIMASZEWSKA,Marta,POL,26.,7.,17.,3185.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,16,WOLLEBAEK,Emma Stöver,NOR,19.,28.,7.,3724.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,17,EGLI,Liv,SUI,13.,21.,14.,3958.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,18,KINDLIHAGEN,Ingrid,NOR,22.,17.,12.,4488.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,19,ČULJAK,Pia,CRO,14.,19.,19.,5557.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,20,EASTON,Ella,AUS,21.,9.,27.,5575.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,21,NIEDERBERGER,Joëlle,SUI,10.,23.,27.,6785.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,22,JEFFRIES,leah,AUS,17.,20.,21.,7525.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,23,KALLIA,Evdoxia - Aikaterini,GRE,25.,22.,16.,8800.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,24,MELLADO QUINTEROS,Ignacia,CHI,14.,34.,23.,12240.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,25,MANNING,Tayla,NZL,28.,16.,27.,13216.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,26,CASEY,Robin,IRL,20.,29.,23.,13920.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,27,TOFT LAURITZEN,Gaia Rebecca,DEN,23.,35.,21.,17307.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,28,LIOUNI,Athanasia,GRE,27.,31.,23.,20088.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,29,RIESING,Eszter,HUN,30.,26.,26.,20280.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,30,NANKAR,Shreya Sanjay Nankar,IND,34.,25.,27.,25075.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,31,VAN LITH,Ariana,NZL,31.,24.,33.,25296.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,32,RAWAT,Ritika,IND,35.,27.,27.,27877.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,33,JACOBSSON,Tua,SWE,29.,33.,27.,28231.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,34,DE QUEIROZ FREITAS,Iasmin,BRA,33.,30.,33.,33660.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,35,JŪLIJA,Popova,LAT,32.,32.,33.,34816.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,COPAR,Sara,SLO,4.,1.,7.,28.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,TOTKOVA,Aleksandra,BUL,1.,10.,3.,30.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,NOH,Heeju,KOR,3.,2.,5.,30.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,WARENSKI,Emilia,AUT,2.,5.,4.,40.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,SCARTH-JOHNSON,Angie,AUS,5.,22.,1.,110.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,OGURA,Sana,JPN,6.,13.,2.,156.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,CONTRERAS,Carmen,CHI,9.,3.,19.,513.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,PAPETTI,Federica,ITA,8.,4.,16.,528.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,JANOŠOVÁ,Markéta,CZE,11.,11.,9.,1149.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,KÖHLER,Anja,SUI,12.,17.,6.,1224.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,SOMMER,Marilu,SUI,10.,18.,8.,1440.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,TAKASHIBA,Emi,CAN,14.,8.,16.,1848.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,13,NAWÓJ,Daria,POL,29.,9.,11.,3001.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,14,VARMA,Anisha,IND,19.,6.,27.,3249.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,15,BRKIĆ,Lucija,CRO,13.,23.,11.,3438.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,16,SELIŠKAR,Ema,SLO,7.,30.,18.,3780.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,17,FLOCKHART,Louise,GBR,20.,15.,14.,4350.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,18,ANDRES,Ellisa,AUS,16.,27.,9.,4360.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,19,BAKIĆ,Lana,CRO,16.,14.,21.,4998.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,20,DISYABUT,Napat,THA,27.,7.,27.,5386.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,21,WIELAND,Ilia,SUI,15.,16.,24.,5880.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,22,LEMVIK,Edel,NOR,16.,33.,14.,8134.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,23,DISYABUT,Nalat,THA,35.,12.,20.,8400.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,24,RAVIWONGSE,Nattcha,THA,22.,19.,22.,9196.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,25,DURKOVA,Sofia,SVK,21.,20.,23.,9660.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,26,HJORTH ALSTRUP,Anine,DEN,28.,35.,13.,12740.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,27,YUN,Dasom,KOR,23.,21.,31.,15697.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,28,ROSAS,Beatriz,CHI,25.,24.,27.,17100.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,29,MIENTUS,Zuzanna,POL,24.,25.,31.,19500.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,30,GEBERT,Abby,NZL,31.,26.,24.,19747.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,31,PARADELA GUERRERO,Daniela,MEX,30.,31.,27.,26505.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,32,SAKKA,Niki,GRE,26.,28.,35.,26572.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,33,LORENTZEN,Annika,DEN,37.,34.,26.,32708.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,34,DIWAN,Sohha Ninad,IND,34.,32.,31.,35360.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,35,PALTATSIDOU,Zoi,GRE,32.,36.,31.,37440.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,36,SHEIKH,Saniya,IND,36.,29.,35.,38106.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,37,RØNNOW,Jasmin Justesen,DEN,33.,37.,35.,44566.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,38,ROBINSON,Alia,NZL,38.,38.,35.,52706.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,ROGORA,Laura,ITA,1.,4.,1.,4.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,GROSSMAN,Natalia,USA,3.,2.,2.,12.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,DÖRFFEL,Lucia,GER,2.,7.,3.,42.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,CONTRERAS,Alejandra,CHI,9.,1.,9.,85.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,HAMMELMÜLLER,Eva Maria,AUT,6.,3.,5.,90.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,SCHOIBL,Celina,AUT,11.,5.,6.,330.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,PÖTZI,Mattea,AUT,5.,20.,4.,400.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,NAKAMURA,Mao,JPN,8.,8.,7.,448.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,HIGUCHI,Yuka,JPN,4.,14.,13.,728.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,HERMANN,Hannah,SUI,7.,13.,9.,864.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,KUROOKA,Mimu,JPN,12.,9.,11.,1188.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,YOHAI,Naama,ISR,10.,17.,8.,1360.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,13,CASAS MUR,Rut,ESP,13.,10.,12.,1560.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,14,HAN,Dagyeong,KOR,18.,6.,16.,1728.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,15,LAVRYKOVA,Yelyzaveta,UKR,14.,11.,15.,2310.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,16,TETZLAFF,Sarah,NZL,20.,12.,17.,4080.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,17,KIM,Hyejun,KOR,15.,15.,20.,4500.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,18,DUNCAN,Freja,SWE,16.,21.,14.,4704.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,19,WONG,Tseng-shun,HKG,17.,16.,18.,4896.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,20,KIM,Hyeonsu,KOR,19.,19.,19.,6859.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,21,MANNING,Abby,AUS,22.,18.,21.,8712.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,22,HIDALGO AMEZQUITA,María Fernanda,MEX,21.,22.,21.,10164.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,23,CHARAK,Shilpa,IND,23.,23.,21.,11638.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,YURIKUSA,Ao,JPN,2.,5.,1.,10.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,TAKEDA,Hajime,JPN,9.,1.,2.,18.00,,,,
